food_name,protein,calories,serving_unit,reference_quantity
"Amaranth seed, black",14.59,356.1,100g,100
Bajra,10.96,348,100g,100
Barley,10.94,315.7,100g,100
Jowar,9.97,334.1,100g,100
"Maize, dry",8.8,334.1,100g,100
"Maize, tender, local",3.57,120,100g,100
"Maize, tender, sweet",4.16,96.8,100g,100
Quinoa,13.11,328.4,100g,100
Ragi,7.16,320.7,100g,100
Rice flakes,7.44,353.7,100g,100
Rice puffed,7.47,361.9,100g,100
"Rice, raw, brown",9.16,353.7,100g,100
"Rice, parboiled, milled",7.81,351.6,100g,100
"Rice, raw, milled",7.94,356.4,100g,100
Samai,10.13,346.3,100g,100
Varagu,8.92,331.7,100g,100
"Wheat flour, refined",10.36,351.8,100g,100
"Wheat flour, atta",10.57,320.3,100g,100
"Wheat, whole",10.59,321.9,100g,100
"Wheat, bulgur",10.84,341.8,100g,100
"Wheat, semolina",11.38,333.7,100g,100
"Wheat, vermicelli",9.7,332.7,100g,100
"Wheat, vermicelli, roasted",10.37,340.1,100g,100
"Bengal gram, dal",21.55,329.1,100g,100
"Bengal gram, whole",18.77,287,100g,100
"Black gram, dal",23.06,324.1,100g,100
"Black gram, whole",21.97,291.3,100g,100
"Cowpea, brown",20.36,320.3,100g,100
"Cowpea, white",21.25,320.3,100g,100
"Field bean, black",19.93,276.1,100g,100
"Field bean, brown",19.9,283,100g,100
"Field bean, white",19.84,280.4,100g,100
"Green gram, dal",23.88,325.8,100g,100
"Green gram, whole",22.53,293.7,100g,100
"Horse gram, whole",21.73,329.6,100g,100
Lentil dal,24.35,322.4,100g,100
"Lentil whole, brown",22.49,299,100g,100
"Lentil whole, yellowish",22.87,297.8,100g,100
Moth bean,19.75,308.6,100g,100
"Peas, dry",20.43,303.3,100g,100
"Rajmah, black",19.01,298,100g,100
"Rajmah, brown",19.5,297.6,100g,100
"Rajmah, red",19.91,299.2,100g,100
"Red gram, dal",21.7,330.8,100g,100
"Red gram, whole",20.47,273.9,100g,100
Ricebean,19.97,302.3,100g,100
"Soybean, brown",35.58,381.5,100g,100
"Soybean, white",37.8,377.4,100g,100
Agathi leaves,8.01,70.5,100g,100
"Amaranth leaves, green",3.29,30.6,100g,100
"Amaranth leaves, red",3.93,33.5,100g,100
Basella leaves,1.57,19.6,100g,100
Bathua leaves,2.5,27.7,100g,100
Beet greens,2.38,34.7,100g,100
"Betel leaves, big",2.51,48.3,100g,100
"Betel leaves, small",2.62,43.7,100g,100
"Cabbage, Chinese",1.58,17.9,100g,100
"Colocasia leaves, green",3.42,43.5,100g,100
Drumstick leaves,6.41,67.4,100g,100
Fenugreek leaves,3.68,34.4,100g,100
Garden cress,5.62,49.7,100g,100
"Gogu leaves, green",1.86,36.3,100g,100
"Gogu leaves, red",1.85,36.6,100g,100
Lettuce,1.54,21.7,100g,100
Mustard leaves,3.52,30.4,100g,100
Pak Choi leaves,1.41,16,100g,100
